Entry,Gene Names,Protein names,Tissue specificity
Q8N165,PDIK1L CLIK1L,Serine/threonine-protein kinase PDIK1L (EC 2.7.11.1) (PDLIM1-interacting kinase 1-like),"TISSUE SPECIFICITY: Expressed in liver, kidney, pancreas, spleen, thymus and prostate. {ECO:0000269|PubMed:14631099}."
Q15831,STK11 LKB1 PJS,Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1) (LKB1) (hLKB1) (Renal carcinoma antigen NY-REN-19),TISSUE SPECIFICITY: Ubiquitously expressed. Strongest expression in testis and fetal liver.
Q16584,MAP3K11 MLK3 PTK1 SPRK,Mitogen-activated protein kinase kinase kinase 11 (EC 2.7.11.25) (Mixed lineage kinase 3) (Src-homology 3 domain-containing proline-rich kinase),"TISSUE SPECIFICITY: Expressed in a wide variety of normal and neoplastic tissues including fetal lung, liver, heart and kidney, and adult lung, liver, heart, kidney, placenta, skeletal muscle, pancreas and brain. {ECO:0000269|PubMed:8183572, ECO:0000269|PubMed:8195146}."
Q16854,DGUOK DGK,"Deoxyguanosine kinase, mitochondrial (EC 2.7.1.113) (Deoxyadenosine kinase, mitochondrial) (EC 2.7.1.76)","TISSUE SPECIFICITY: Ubiquitous. Highest expression in muscle, brain, liver and lymphoid tissues. {ECO:0000269|PubMed:8706825}."
Q9HBU6,ETNK1 EKI1,Ethanolamine kinase 1 (EKI 1) (EC 2.7.1.82),"TISSUE SPECIFICITY: Expressed in kidney, liver, placenta, heart, leukocyte, ovary and testis. {ECO:0000269|PubMed:11044454}."
O75063,FAM20B KIAA0475,Glycosaminoglycan xylosylkinase (EC 2.7.1.-) (Xylose kinase),"TISSUE SPECIFICITY: Widely expressed. Strongly expressed in pancreas, spleen and fetal liver. {ECO:0000269|PubMed:15676076, ECO:0000269|PubMed:24425863}."
Q9HAZ1,CLK4,Dual specificity protein kinase CLK4 (EC 2.7.12.1) (CDC-like kinase 4),"TISSUE SPECIFICITY: Expressed in liver, kidney, heart, muscle, brain and endothelial cells. {ECO:0000269|PubMed:11170754, ECO:0000269|PubMed:19168442}."
Q99986,VRK1,Serine/threonine-protein kinase VRK1 (EC 2.7.11.1) (Vaccinia-related kinase 1),"TISSUE SPECIFICITY: Widely expressed. Highly expressed in fetal liver, testis and thymus. {ECO:0000269|PubMed:9344656}."
Q96GD4,AURKB AIK2 AIM1 AIRK2 ARK2 STK1 STK12 STK5,Aurora kinase B (EC 2.7.11.1) (Aurora 1) (Aurora- and IPL1-like midbody-associated protein 1) (AIM-1) (Aurora/IPL1-related kinase 2) (ARK-2) (Aurora-related kinase 2) (STK-1) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase 5) (Serine/threonine-protein kinase aurora-B),"TISSUE SPECIFICITY: High level expression seen in the thymus. It is also expressed in the spleen, lung, testis, colon, placenta and fetal liver. Expressed during S and G2/M phase and expression is up-regulated in cancer cells during M phase. {ECO:0000269|PubMed:9809983, ECO:0000269|PubMed:9858806}.; TISSUE SPECIFICITY: [Isoform 3]: Not expressed in normal liver, high expression in metastatic liver. {ECO:0000269|PubMed:19134008}."
P34947,GRK5 GPRK5,G protein-coupled receptor kinase 5 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK5),"TISSUE SPECIFICITY: Highest levels in heart, placenta, lung > skeletal muscle > brain, liver, pancreas > kidney. {ECO:0000269|PubMed:7685906}."
Q14296,FASTK,Fas-activated serine/threonine kinase (FAST kinase) (EC 2.7.11.1) (EC 2.7.11.8),"TISSUE SPECIFICITY: Expressed in heart, brain, placenta, lung, liver, skeletal muscle, kidney and pancreas."
Q9HBY8,SGK2,Serine/threonine-protein kinase Sgk2 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 2),"TISSUE SPECIFICITY: Highly expressed in liver, kidney and pancreas, and at lower levels in brain. {ECO:0000269|PubMed:10548550}."
P36896,ACVR1B ACVRLK4 ALK4,Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2),"TISSUE SPECIFICITY: Expressed in many tissues, most strongly in kidney, pancreas, brain, lung, and liver."
Q2M2I8,AAK1 KIAA1048,AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1),"TISSUE SPECIFICITY: Detected in brain, heart and liver. Isoform 1 is the predominant isoform in brain. {ECO:0000269|PubMed:17494869}."
Q96DU7,ITPKC IP3KC,"Inositol-trisphosphate 3-kinase C (EC 2.7.1.127) (Inositol 1,4,5-trisphosphate 3-kinase C) (IP3 3-kinase C) (IP3K C) (InsP 3-kinase C)","TISSUE SPECIFICITY: Highly expressed in pancreas, skeletal muscle, liver, placenta and weakly in kidney and brain. {ECO:0000269|PubMed:11085927}."
P27144,AK4 AK3 AK3L1,"Adenylate kinase 4, mitochondrial (EC 2.7.4.4) (EC 2.7.4.6) (Adenylate kinase 3-like) (GTP:AMP phosphotransferase AK4)","TISSUE SPECIFICITY: Highly expressed in kidney, moderately expressed in heart and liver and weakly expressed in brain. {ECO:0000269|PubMed:11485571}."
Q15126,PMVK PMKI,Phosphomevalonate kinase (PMKase) (hPMK) (EC 2.7.4.2),"TISSUE SPECIFICITY: Heart, liver, skeletal muscle, kidney, and pancreas. Lower level in brain, placenta and lung. {ECO:0000269|PubMed:8663599}."
Q9Y243,AKT3 PKBG,RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2),"TISSUE SPECIFICITY: In adult tissues, it is highly expressed in brain, lung and kidney, but weakly in heart, testis and liver. In fetal tissues, it is highly expressed in heart, liver and brain and not at all in kidney."
O43283,MAP3K13 LZK,Mitogen-activated protein kinase kinase kinase 13 (EC 2.7.11.25) (Leucine zipper-bearing kinase) (Mixed lineage kinase) (MLK),"TISSUE SPECIFICITY: Expressed in the adult brain, liver, placenta and pancreas, with expression strongest in the pancreas. {ECO:0000269|PubMed:9353328}."
O75747,PIK3C2G,Phosphatidylinositol 3-kinase C2 domain-containing subunit gamma (PI3K-C2-gamma) (PtdIns-3-kinase C2 subunit gamma) (EC 2.7.1.137) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-gamma),"TISSUE SPECIFICITY: Highly expressed in liver, prostate and testis. Lower levels in small intestine, kidney and pancreas. {ECO:0000269|PubMed:9878262}."
O94768,STK17B DRAK2,Serine/threonine-protein kinase 17B (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 2),"TISSUE SPECIFICITY: Highly expressed in placenta, lung, pancreas. Lower levels in heart, brain, liver, skeletal muscle and kidney. {ECO:0000269|PubMed:9786912}."
P42685,FRK PTK5 RAK,Tyrosine-protein kinase FRK (EC 2.7.10.2) (FYN-related kinase) (Nuclear tyrosine protein kinase RAK) (Protein-tyrosine kinase 5),"TISSUE SPECIFICITY: Predominantly expressed in epithelial derived cell lines and tissues, especially normal liver, kidney, breast and colon. {ECO:0000269|PubMed:7696183}."
Q8TE04,PANK1 PANK,Pantothenate kinase 1 (hPanK) (hPanK1) (EC 2.7.1.33) (Pantothenic acid kinase 1),"TISSUE SPECIFICITY: [Isoform 1]: Expressed at high levels in brain, heart, kidney, liver, skeletal muscle and testis. {ECO:0000269|PubMed:11809413, ECO:0000269|PubMed:14523052}.; TISSUE SPECIFICITY: [Isoform 2]: Detected at much lower levels in kidney, liver, brain and testis and not detected in heart or skeletal muscle. {ECO:0000269|PubMed:14523052}."
Q15118,PDK1 PDHK1,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 1) (PDH kinase 1)","TISSUE SPECIFICITY: Expressed predominantly in the heart. Detected at lower levels in liver, skeletal muscle and pancreas. {ECO:0000269|PubMed:7499431}."
P29323,EPHB2 DRT EPHT3 EPTH3 ERK HEK5 TYRO5,Ephrin type-B receptor 2 (EC 2.7.10.1) (Developmentally-regulated Eph-related tyrosine kinase) (ELK-related tyrosine kinase) (EPH tyrosine kinase 3) (EPH-like kinase 5) (EK5) (hEK5) (Renal carcinoma antigen NY-REN-47) (Tyrosine-protein kinase TYRO5) (Tyrosine-protein kinase receptor EPH-3) [Cleaved into: EphB2/CTF1; EphB2/CTF2],"TISSUE SPECIFICITY: Brain, heart, lung, kidney, placenta, pancreas, liver and skeletal muscle. Preferentially expressed in fetal brain."
Q9UEW8,STK39 PASK SPAK,STE20/SPS1-related proline-alanine-rich protein kinase (Ste-20-related kinase) (EC 2.7.11.1) (DCHT) (Serine/threonine-protein kinase 39),"TISSUE SPECIFICITY: Predominantly expressed in brain and pancreas followed by heart, lung, kidney, skeletal muscle, liver, placenta and testis. {ECO:0000269|PubMed:10980603}."
P54760,EPHB4 HTK MYK1 TYRO11,Ephrin type-B receptor 4 (EC 2.7.10.1) (Hepatoma transmembrane kinase) (Tyrosine-protein kinase TYRO11),"TISSUE SPECIFICITY: Abundantly expressed in placenta but also detected in kidney, liver, lung, pancreas, skeletal muscle and heart. Expressed in primitive and myeloid, but not lymphoid, hematopoietic cells. Also observed in cell lines derived from liver, breast, colon, lung, melanocyte and cervix. {ECO:0000269|PubMed:8188704}."
Q8TD19,NEK9 KIAA1995 NEK8 NERCC,Serine/threonine-protein kinase Nek9 (EC 2.7.11.38) (Nercc1 kinase) (Never in mitosis A-related kinase 9) (NimA-related protein kinase 9) (NimA-related kinase 8) (Nek8),"TISSUE SPECIFICITY: Most abundant in heart, liver, kidney and testis. Also expressed in smooth muscle cells and fibroblasts. {ECO:0000269|PubMed:11864968}."
Q13057,COASY PSEC0106,Bifunctional coenzyme A synthase (CoA synthase) (NBP) (POV-2) [Includes: Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT); Dephospho-CoA kinase (DPCK) (EC 2.7.1.24) (Dephosphocoenzyme A kinase) (DPCOAK)],"TISSUE SPECIFICITY: Expressed in all tissues examined including brain, heart, skeletal muscle, colon, thymus, spleen, kidney, liver, small intestine, placenta, lung and peripheral blood leukocyte. Lowest expression in peripheral blood leukocytes and highest in kidney and liver. Isoform 2 is expressed mainly in the brain. {ECO:0000269|PubMed:11923312}."
Q14004,CDK13 CDC2L CDC2L5 CHED KIAA1791,Cyclin-dependent kinase 13 (EC 2.7.11.22) (EC 2.7.11.23) (CDC2-related protein kinase 5) (Cell division cycle 2-like protein kinase 5) (Cell division protein kinase 13) (hCDK13) (Cholinesterase-related cell division controller),"TISSUE SPECIFICITY: Expressed in fetal brain, liver, muscle and in adult brain. Also expressed in neuroblastoma and glioblastoma tumors."
Q16539,MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A,Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (Cytokine suppressive anti-inflammatory drug-binding protein) (CSAID-binding protein) (CSBP) (MAP kinase MXI2) (MAX-interacting protein 2) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha) (Stress-activated protein kinase 2a) (SAPK2a),"TISSUE SPECIFICITY: Brain, heart, placenta, pancreas and skeletal muscle. Expressed to a lesser extent in lung, liver and kidney."
O75582,RPS6KA5 MSK1,Ribosomal protein S6 kinase alpha-5 (S6K-alpha-5) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 5) (Nuclear mitogen- and stress-activated protein kinase 1) (RSK-like protein kinase) (RSKL),"TISSUE SPECIFICITY: Widely expressed with high levels in heart, brain and placenta. Less abundant in lung, kidney and liver. {ECO:0000269|PubMed:9687510, ECO:0000269|PubMed:9873047}."
Q13164,MAPK7 BMK1 ERK5 PRKM7,Mitogen-activated protein kinase 7 (MAP kinase 7) (MAPK 7) (EC 2.7.11.24) (Big MAP kinase 1) (BMK-1) (Extracellular signal-regulated kinase 5) (ERK-5),"TISSUE SPECIFICITY: Expressed in many adult tissues. Abundant in heart, placenta, lung, kidney and skeletal muscle. Not detectable in liver. {ECO:0000269|PubMed:7759517}."
Q8NFU5,IPMK IMPK,"Inositol polyphosphate multikinase (EC 2.7.1.140) (EC 2.7.1.151) (EC 2.7.1.153) (Inositol 1,3,4,6-tetrakisphosphate 5-kinase)","TISSUE SPECIFICITY: Ubiquitous, with the highest expression in skeletal muscle, liver, placenta, lung, peripheral blood leukocytes, kidney, spleen and colon. {ECO:0000269|PubMed:12223481}."
Q9Y3D8,AK6 CINAP AD-004 CGI-137,Adenylate kinase isoenzyme 6 (AK6) (EC 2.7.4.3) (Adrenal gland protein AD-004) (Coilin-interacting nuclear ATPase protein) (hCINAP) (Dual activity adenylate kinase/ATPase) (AK/ATPase),"TISSUE SPECIFICITY: Expressed in heart, brain, placenta, lung, liver, skeletal muscle, kidney, pancreas, chorionic villi and the central nervous system. {ECO:0000269|PubMed:16079131}."
Q86UE8,TLK2,Serine/threonine-protein kinase tousled-like 2 (EC 2.7.11.1) (HsHPK) (PKU-alpha) (Tousled-like kinase 2),"TISSUE SPECIFICITY: Detected in placenta, fetal liver, kidney, pancreas, heart and skeletal muscle (PubMed:9427565). Highly expressed in testis (PubMed:9427565, PubMed:9662073). Detected in spleen, thymus, colon, ovary, small intestine, prostate and peripheral blood leukocytes (PubMed:9662073). Almost undetectable in liver and lung (PubMed:9662073). {ECO:0000269|PubMed:9427565, ECO:0000269|PubMed:9662073}."
Q9BYP7,WNK3 KIAA1566 PRKWNK3,Serine/threonine-protein kinase WNK3 (EC 2.7.11.1) (Protein kinase lysine-deficient 3) (Protein kinase with no lysine 3),"TISSUE SPECIFICITY: Expressed in brain, lung, kidney, liver and pancreas, and in fetal tissues including placenta, fetal brain, lung and kidney. Very low levels of expression were also detected in fetal heart, thymus, liver and spleen. Isoform 1 is brain-specific. Isoform 3 is kidney-specific. {ECO:0000269|PubMed:11571656, ECO:0000269|PubMed:15194194, ECO:0000269|PubMed:16275913}."
O75385,ULK1 KIAA0722,Serine/threonine-protein kinase ULK1 (EC 2.7.11.1) (Autophagy-related protein 1 homolog) (ATG1) (hATG1) (Unc-51-like kinase 1),"TISSUE SPECIFICITY: Ubiquitously expressed. Detected in the following adult tissues: skeletal muscle, heart, pancreas, brain, placenta, liver, kidney, and lung."
P78356,PIP4K2B PIP5K2B,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-beta) (Diphosphoinositide kinase 2-beta) (Phosphatidylinositol 5-phosphate 4-kinase type II beta) (PI(5)P 4-kinase type II beta) (PIP4KII-beta) (PtdIns(5)P-4-kinase isoform 2-beta),"TISSUE SPECIFICITY: Highly expressed in brain, heart, pancreas, skeletal muscle and kidney. Detected at lower levels in placenta, lung and liver. {ECO:0000269|PubMed:9038203}."
P42356,PI4KA PIK4 PIK4CA,Phosphatidylinositol 4-kinase alpha (PI4-kinase alpha) (PI4K-alpha) (PtdIns-4-kinase alpha) (EC 2.7.1.67) (Phosphatidylinositol 4-Kinase III alpha),"TISSUE SPECIFICITY: Expressed ubiquitously. Highest levels in placenta and brain. Little or no expression in lung, liver, pancreas, testis or leukocytes. {ECO:0000269|PubMed:10101268, ECO:0000269|PubMed:7961848}."
Q15759,MAPK11 PRKM11 SAPK2 SAPK2B,Mitogen-activated protein kinase 11 (MAP kinase 11) (MAPK 11) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 beta) (MAP kinase p38 beta) (p38b) (Stress-activated protein kinase 2b) (SAPK2b) (p38-2),"TISSUE SPECIFICITY: Highest levels in the brain and heart. Also expressed in the placenta, lung, liver, skeletal muscle, kidney and pancreas."
P50053,KHK,Ketohexokinase (EC 2.7.1.3) (Hepatic fructokinase),"TISSUE SPECIFICITY: Most abundant in liver, kidney, gut, spleen and pancreas. Low levels also found in adrenal, muscle, brain and eye. {ECO:0000269|PubMed:9799106}."
Q7KZI7,MARK2 EMK1,Serine/threonine-protein kinase MARK2 (EC 2.7.11.1) (EC 2.7.11.26) (ELKL motif kinase 1) (EMK-1) (MAP/microtubule affinity-regulating kinase 2) (PAR1 homolog) (PAR1 homolog b) (Par-1b) (Par1b),"TISSUE SPECIFICITY: High levels of expression in heart, brain, skeletal muscle and pancreas, lower levels observed in lung, liver and kidney. {ECO:0000269|PubMed:9730619}."
Q99755,PIP5K1A,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha (PIP5K1-alpha) (PtdIns(4)P-5-kinase 1 alpha) (EC 2.7.1.68) (68 kDa type I phosphatidylinositol 4-phosphate 5-kinase alpha) (Phosphatidylinositol 4-phosphate 5-kinase type I alpha) (PIP5KIalpha),"TISSUE SPECIFICITY: Highly expressed in heart, placenta, skeletal muscle, kidney and pancreas. Detected at lower levels in brain, lung and liver. {ECO:0000269|PubMed:8955136}."
Q5VT25,CDC42BPA KIAA0451,Serine/threonine-protein kinase MRCK alpha (EC 2.7.11.1) (CDC42-binding protein kinase alpha) (DMPK-like alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha),"TISSUE SPECIFICITY: Abundant in the heart, brain, skeletal muscle, kidney, and pancreas, with little or no expression in the lung and liver. {ECO:0000269|PubMed:9092543}."
P78362,SRPK2,SRSF protein kinase 2 (EC 2.7.11.1) (SFRS protein kinase 2) (Serine/arginine-rich protein-specific kinase 2) (SR-protein-specific kinase 2) [Cleaved into: SRSF protein kinase 2 N-terminal; SRSF protein kinase 2 C-terminal],"TISSUE SPECIFICITY: Highly expressed in brain, moderately expressed in heart and skeletal muscle and at low levels in lung, liver, and kidney. {ECO:0000269|PubMed:9472028}."
O95819,MAP4K4 HGK KIAA0687 NIK,Mitogen-activated protein kinase kinase kinase kinase 4 (EC 2.7.11.1) (HPK/GCK-like kinase HGK) (MAPK/ERK kinase kinase kinase 4) (MEK kinase kinase 4) (MEKKK 4) (Nck-interacting kinase),"TISSUE SPECIFICITY: Widely expressed. Isoform 5 is abundant in the brain. Isoform 4 is predominant in the liver, skeletal muscle and placenta. {ECO:0000269|PubMed:9890973}."
Q13315,ATM,Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated),"TISSUE SPECIFICITY: Found in pancreas, kidney, skeletal muscle, liver, lung, placenta, brain, heart, spleen, thymus, testis, ovary, small intestine, colon and leukocytes."
Q13470,TNK1,Non-receptor tyrosine-protein kinase TNK1 (EC 2.7.10.2) (CD38 negative kinase 1),"TISSUE SPECIFICITY: Expressed in all umbilical cord blood, bone marrow and adult blood cell sub-populations and in several leukemia cell lines. Highly expressed in fetal blood, brain, lung, liver and kidney. Detected at lower levels in adult prostate, testis, ovary, small intestine and colon. Not expressed in adult lung, liver, kidney or brain. {ECO:0000269|PubMed:10873601, ECO:0000269|PubMed:8632913}."
Q16659,MAPK6 ERK3 PRKM6,Mitogen-activated protein kinase 6 (MAP kinase 6) (MAPK 6) (EC 2.7.11.24) (Extracellular signal-regulated kinase 3) (ERK-3) (MAP kinase isoform p97) (p97-MAPK),"TISSUE SPECIFICITY: Highest expression in the skeletal muscle, followed by the brain. Also found in heart, placenta, lung, liver, pancreas, kidney and skin fibroblasts."
Q96S38,RPS6KC1 RPK118,Ribosomal protein S6 kinase delta-1 (S6K-delta-1) (EC 2.7.11.1) (52 kDa ribosomal protein S6 kinase) (Ribosomal S6 kinase-like protein with two PSK domains 118 kDa protein) (SPHK1-binding protein),"TISSUE SPECIFICITY: Highly expressed in testis, skeletal muscle, brain, heart, placenta, kidney and liver and weakly expressed in thymus, small intestine, lung and colon. {ECO:0000269|PubMed:12077123}."
Q9H2K8,TAOK3 DPK JIK KDS MAP3K18,Serine/threonine-protein kinase TAO3 (EC 2.7.11.1) (Cutaneous T-cell lymphoma-associated antigen HD-CL-09) (CTCL-associated antigen HD-CL-09) (Dendritic cell-derived protein kinase) (JNK/SAPK-inhibitory kinase) (Jun kinase-inhibitory kinase) (Kinase from chicken homolog A) (hKFC-A) (Thousand and one amino acid protein 3),"TISSUE SPECIFICITY: Ubiquitously expressed at a low level, and highly expressed in peripheral blood leukocytes (PBLs), thymus, spleen, kidney, skeletal muscle, heart and liver. {ECO:0000269|PubMed:10924369, ECO:0000269|PubMed:13679851}."
Q9NYA1,SPHK1 SK1 SPHK SPK,Sphingosine kinase 1 (SK 1) (SPK 1) (EC 2.7.1.91) (Acetyltransferase SPHK1) (EC 2.3.1.-),"TISSUE SPECIFICITY: Widely expressed with highest levels in adult liver, kidney, heart and skeletal muscle. Expressed in brain cortex (at protein level) (PubMed:29662056). {ECO:0000269|PubMed:10802064, ECO:0000269|PubMed:29662056}."
Q9UIJ7,AK3 AK3L1 AK6 AKL3L,"GTP:AMP phosphotransferase AK3, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (Adenylate kinase 3 alpha-like 1) (Adenylate kinase isozyme 3)","TISSUE SPECIFICITY: Highly expressed in heart, skeletal muscle and liver, moderately expressed in pancreas and kidney, and weakly expressed in placenta, brain and lung. {ECO:0000269|PubMed:11485571}."
Q96Q15,SMG1 ATX KIAA0421 LIP,Serine/threonine-protein kinase SMG1 (SMG-1) (hSMG-1) (EC 2.7.11.1) (Lambda/iota protein kinase C-interacting protein) (Lambda-interacting protein) (Nonsense mediated mRNA decay-associated PI3K-related kinase SMG1),"TISSUE SPECIFICITY: Widely expressed, with highest level in heart and skeletal muscle. Expressed in placenta, brain, lung and spleen, but not in liver. {ECO:0000269|PubMed:15175154, ECO:0000269|PubMed:8524286}."
Q96C11,FGGY,FGGY carbohydrate kinase domain-containing protein (D-ribulokinase FGGY) (EC 2.7.1.47),"TISSUE SPECIFICITY: Expressed in kidney, lung and small intestine and to a lower extent in liver and detected in cerebrospinal fluid (at protein level). {ECO:0000269|PubMed:17671248}."
Q9UHJ6,SHPK CARKL,Sedoheptulokinase (SHK) (EC 2.7.1.14) (Carbohydrate kinase-like protein),"TISSUE SPECIFICITY: Strongly expressed in liver, kidney and pancreas. Expressed at lower levels in placenta and heart. Very weakly expressed in lung and brain. {ECO:0000269|PubMed:10673275}."
Q9UQ07,MOK RAGE RAGE1,MAPK/MAK/MRK overlapping kinase (EC 2.7.11.22) (MOK protein kinase) (Renal tumor antigen 1) (RAGE-1),"TISSUE SPECIFICITY: Expressed in heart, brain, lung, kidney, and pancreas, and at very low levels in placenta, liver and skeletal muscle. Detected in retina."
Q96NX5,CAMK1G CLICK3 VWS1,Calcium/calmodulin-dependent protein kinase type 1G (EC 2.7.11.17) (CaM kinase I gamma) (CaM kinase IG) (CaM-KI gamma) (CaMKI gamma) (CaMKIG) (CaMK-like CREB kinase III) (CLICK III),"TISSUE SPECIFICITY: Mainly expressed in brain with small amounts in skeletal muscles, kidney, spleen and liver. Strongly expressed in forebrain neocortex, striatum and limbic system. {ECO:0000269|PubMed:12637513}."
P51957,NEK4 STK2,Serine/threonine-protein kinase Nek4 (EC 2.7.11.1) (Never in mitosis A-related kinase 4) (NimA-related protein kinase 4) (Serine/threonine-protein kinase 2) (Serine/threonine-protein kinase NRK2),"TISSUE SPECIFICITY: Highest expression in adult heart, followed by pancreas, skeletal muscle, brain, testis, retina, liver, kidney, lung and placenta. Present in most primary carcinomas. {ECO:0000269|PubMed:21685204, ECO:0000269|PubMed:8208544}."
